id,state,regional_unemployment_rate,regional_median_income,regional_median_rent,housing_price_index,cost_of_living_index,previous_zip_code
10000,Oh,4.8,56000,1380.0,91.0,73.0,451
10001,Pa,4.4,61000,1510.0,92.0,87.0,537
10002,Va,3.9,74000,1920.0,125.0,103.0,679
10003,Ca,5.8,75000,1690.0,158.0,121.0,719
10004,Wa,5.8,78000,1700.0,152.0,127.0,933
10005,Wa,5.0,78000,1850.0,154.0,117.0,556
10006,Mi,5.2,57000,1400.0,100.0,85.0,401
10007,Tx,4.5,61000,1330.0,104.0,79.0,393
10008,Ca,6.1,75000,1800.0,167.0,125.0,270
10009,Md,4.4,84000,1970.0,126.0,105.0,659
10010,Ny,4.8,72000,1600.0,141.0,112.0,857
10011,Mo,3.7,55000,1200.0,97.0,75.0,232
10012,Md,4.1,84000,1960.0,123.0,114.0,390
10013,Mi,5.4,57000,1370.0,99.0,89.0,467
10014,Il,5.7,65000,1410.0,101.0,81.0,264
10015,Fl,4.8,55000,1330.0,115.0,91.0,469
10016,Il,5.4,65000,1540.0,103.0,84.0,294
10017,Nj,4.9,82000,1830.0,133.0,116.0,464
10018,Wi,4.2,60000,1470.0,100.0,84.0,931
10019,Ca,5.5,75000,2120.0,165.0,136.0,401
10020,Ny,4.5,72000,1650.0,134.0,106.0,650
10021,Wi,4.1,60000,1270.0,111.0,88.0,747
10022,Nc,4.1,54000,1280.0,112.0,90.0,900
10023,Ca,5.3,75000,2120.0,155.0,123.0,946
10024,Ca,5.5,75000,1870.0,156.0,120.0,637
10025,Az,4.8,58000,1420.0,112.0,94.0,559
10026,Pa,4.7,61000,1510.0,108.0,85.0,126
10027,Ca,6.0,75000,1560.0,162.0,131.0,695
10028,Tx,4.4,61000,1400.0,107.0,97.0,949
10029,Nj,4.7,82000,2030.0,142.0,115.0,390
10030,Nc,5.0,54000,1190.0,109.0,85.0,321
10031,Il,5.5,65000,1760.0,97.0,83.0,580
10032,Tn,4.1,53000,1420.0,118.0,95.0,159
10033,Mi,6.0,57000,1350.0,91.0,72.0,851
10034,Tx,4.0,61000,1340.0,109.0,91.0,969
10035,Ny,5.1,72000,1580.0,137.0,112.0,118
10036,Pa,4.5,61000,1680.0,85.0,79.0,250
10037,Md,4.3,84000,2130.0,122.0,110.0,664
10038,Fl,5.1,55000,1240.0,111.0,84.0,852
10039,Oh,4.9,56000,1610.0,86.0,83.0,843
10040,Nc,4.3,54000,1460.0,118.0,95.0,118
10041,Tx,4.1,61000,1280.0,106.0,91.0,608
10042,In,4.2,55000,1270.0,90.0,82.0,771
10043,In,4.3,55000,1340.0,100.0,86.0,466
10044,Ca,5.4,75000,1830.0,161.0,137.0,605
10045,Md,4.5,84000,2060.0,124.0,113.0,396
10046,Ca,6.1,75000,2020.0,156.0,123.0,379
10047,Ca,5.2,75000,1940.0,158.0,124.0,425
10048,Tx,3.8,61000,1730.0,105.0,83.0,151
10049,Ca,5.5,75000,1850.0,158.0,127.0,359
