feature,importance
annual_income_X_age,0.07189133
income_vs_regional_div_debt_service_ratio,0.06478219
annual_income_sqrt,0.033408947
credit_score_squared,0.022594087
credit_score_log,0.022152042
age_sqrt,0.022108171
credit_score_X_annual_income,0.018064817
age_cubed,0.017930454
credit_score,0.017296823
combined_risk_score,0.015450271
credit_score_sqrt,0.013754977
debt_burden_score,0.012070842
age_squared,0.011563237
monthly_income_sqrt,0.0101296855
debt_service_coverage,0.009906288
income_vs_regional_sqrt,0.009672384
age_group_36-45,0.008910259
payment_burden,0.008818803
num_public_records,0.008620598
debt_service_ratio,0.008493019
credit_score_div_annual_income,0.008351882
debt_service_ratio_X_payment_burden,0.008082855
monthly_income_squared,0.007849722
num_credit_accounts,0.007834895
annual_income,0.007631229
loan_type_freq,0.0074353316
monthly_payment,0.007333831
num_public_records_has_value,0.007221806
credit_utilization,0.007140494
total_debt_to_income,0.0069897496
payment_features_mean,0.0066228597
origination_channel_Direct Mail,0.006616502
payment_features_sum,0.0064323023
debt_service_ratio_X_payment_to_income_ratio,0.006430825
payment_to_income_ratio_X_total_debt_to_income,0.0063831005
income_vs_regional_cubed,0.0063068564
ratio_revolving_balance_to_available_credit,0.006287188
regional_unemployment_rate,0.006178784
monthly_income,0.006082021
credit_utilization_X_revolving_balance,0.0059570186
annual_debt_payment,0.0059279287
income_vs_regional_X_debt_service_ratio,0.005842579
account_status_code_ACT-2,0.005841228
income_vs_regional_squared,0.005648406
revolving_to_income,0.0055559883
loan_purpose_Home Purchase,0.005490697
credit_score_div_debt_to_income_ratio,0.0054616313
ratio_total_debt_amount_to_annual_income,0.0053215222
has_mobile_app,0.0053150584
cost_of_living_index,0.005308035
debt_features_mean,0.005305957
available_credit,0.0053043542
housing_price_index,0.005299275
total_debt_amount,0.005277052
paperless_billing,0.0051905173
account_open_year,0.005180671
loan_to_annual_income,0.005063138
marital_status_Single,0.005058535
ratio_monthly_payment_to_monthly_income,0.005052537
employment_type_Part Time,0.005017056
loan_amount,0.005008993
ratio_existing_monthly_debt_to_monthly_income,0.0049368255
annual_income_div_age,0.004902389
num_login_sessions,0.004901174
available_credit_after_loan,0.0048942915
marital_status_Married,0.004893003
credit_utilization_div_revolving_balance,0.0048855264
origination_channel_Online,0.004848344
num_customer_service_calls,0.0048424844
num_delinquencies_2yrs_div_credit_score,0.004840552
oldest_credit_line_age,0.004797238
loan_purpose_Major Purchase,0.004771581
interest_rate,0.004771303
loan_term,0.004768962
loan_to_value_ratio,0.00475135
loan_purpose_Home Improvement,0.004745915
payment_to_income_ratio_div_total_debt_to_income,0.0047440054
debt_features_max,0.0046737343
education_Some College,0.004638022
employment_type_Fulltime,0.0046331733
total_credit_limit,0.0046184766
revolving_balance,0.0046182266
debt_service_ratio_div_payment_burden,0.004608565
education_Graduate,0.0045968927
preferred_contact_Phone_has_value,0.004595118
previous_zip_code,0.0045610606
application_id,0.004543653
loan_officer_id,0.0045266626
employment_type_Ft,0.0045156945
credit_capacity,0.004446912
age_X_employment_length,0.004446075
account_status_code_ACTIVE,0.0044422704
application_day_of_week,0.004384348
logins_per_year,0.0043783565
credit_score_X_debt_to_income_ratio,0.004369447
payment_to_income_ratio,0.004369359
debt_service_ratio_div_payment_to_income_ratio,0.0043640085
regional_median_rent,0.004339603
customer_ref,0.0043387157
education_High School,0.004332025
employment_type_Part Time_has_value,0.0043140138
account_diversity_index,0.004312377
regional_median_income,0.004312294
employment_type_Contractor_has_value,0.004265484
account_status_code_ACTIVE_has_value,0.00426513
debt_to_income_ratio,0.00426051
existing_monthly_debt,0.0042316695
oldest_account_age_months,0.0042203353
income_per_dependent,0.0042202743
income_vs_age_expected,0.004213573
preferred_contact_Mail,0.004205859
state_freq,0.0041722767
debt_features_std,0.0041505494
employment_type_Full Time_has_value,0.00412968
service_calls_per_year,0.0040900847
num_dependents,0.004075294
application_hour,0.0040518586
application_time_of_day_morning,0.0040359646
credit_util_category,0.0040295213
age_group_55+,0.004016892
income_vs_regional,0.0040151407
loan_purpose_Other,0.003976465
employment_length,0.003974409
employment_type_Self Emp_has_value,0.00392179
num_delinquencies_2yrs_X_credit_score,0.0038861984
num_collections,0.0038012287
account_status_code_ACT-3_has_value,0.0036918863
employment_type_Pt,0.0036824986
recent_inquiry_count,0.0036522408
referral_code_freq,0.0034666285
loan_purpose_Revolving Credit,0.0033868887
account_status_code_ACT-1,0.003178062
employment_type_Self Employed_has_value,0.003074149
num_inquiries_6mo,0.0029704054
account_status_code_ACT-1_has_value,0.002828301
age_group_26-35,0.0028281584
employment_type_Self Employed,0.002692269
origination_channel_Broker,0.0026715724
age_group_46-55,0.002523515
education_Bachelor_has_value,0.0024957513
employment_type_Pt_has_value,0.0023802135
employment_stability_short,0.0023319018
account_age_years,0.0019993577
application_time_of_day_night,0.0018674112
loan_purpose_Refinance,0.00106109
loan_purpose_Medical,0.00017386615
credit_util_category_low,0.0
employment_type_Contractor,0.0
employment_stability_new,0.0
preferred_contact_Mail_has_value,0.0
employment_type_Fulltime_has_value,0.0
application_time_of_day_evening,0.0
employment_type_Full Time,0.0
credit_util_category_medium,0.0
account_status_code_ACT-3,0.0
employment_type_Ft_has_value,0.0
employment_type_Self Emp,0.0
education_Bachelor,0.0
education_Graduate_has_value,0.0
num_delinquencies_2yrs,0.0
age,0.0
preferred_contact_Phone,0.0
employment_stability_medium,0.0
annual_income_squared,0.0
