feature_1,feature_2,correlation
num_inquiries_6mo,recent_inquiry_count,1.0
account_open_year,account_age_years,-0.9999999999999908
oldest_credit_line_age,oldest_account_age_months,0.9999999999999905
annual_income,monthly_income,0.9999999976531334
payment_to_income_ratio,payment_burden,0.9999996671566458
total_credit_limit,credit_capacity,0.9981189070153105
loan_to_annual_income,total_debt_to_income,0.994498666376378
total_debt_amount,loan_amount,0.9730909358331723
debt_service_ratio,payment_to_income_ratio,0.963918816507238
debt_service_ratio,payment_burden,0.9639180884325157
monthly_income,income_vs_regional,0.961227053146729
annual_income,income_vs_regional,0.9612270483506921
loan_amount,available_credit_after_loan,-0.9556053582366245
housing_price_index,cost_of_living_index,0.9515880846339297
loan_term,loan_to_value_ratio,0.9495505895756758
loan_purpose_Revolving Credit,loan_type_freq,-0.9258341682358417
loan_to_annual_income,payment_burden,0.9257861077502528
payment_to_income_ratio,loan_to_annual_income,0.9257706979966918
total_debt_to_income,payment_burden,0.9202909439441986
payment_to_income_ratio,total_debt_to_income,0.9202752069157781
monthly_payment,loan_amount,0.9170495167425984
total_debt_amount,available_credit_after_loan,-0.9009215750122862
debt_service_ratio,loan_to_annual_income,0.8931297183412175
debt_service_ratio,total_debt_to_income,0.8879513880317991
monthly_payment,total_debt_amount,0.88736895415036
available_credit,credit_capacity,0.8868978137043504
available_credit,total_credit_limit,0.8863972675851607
monthly_payment,available_credit_after_loan,-0.8849489195468083
loan_to_annual_income,available_credit_after_loan,-0.8800144348016261
total_debt_to_income,available_credit_after_loan,-0.8761763255621401
loan_to_annual_income,loan_amount,0.868387348590569
loan_amount,total_debt_to_income,0.8641604093409297
regional_median_income,regional_median_rent,0.8570251246872627
loan_amount,loan_to_value_ratio,0.8456962948868122
monthly_payment,payment_burden,0.8442586914734335
monthly_payment,payment_to_income_ratio,0.8441716084977138
credit_utilization,combined_risk_score,0.8302212372589809
loan_term,interest_rate,-0.8299305938850338
regional_median_income,cost_of_living_index,0.8282779007807879
monthly_payment,loan_to_annual_income,0.8254730512555362
loan_amount,loan_term,0.8251297098389205
total_debt_amount,loan_to_value_ratio,0.824145496749325
monthly_payment,total_debt_to_income,0.8212561552389203
total_debt_amount,total_debt_to_income,0.8211659443225741
marital_status_Married,marital_status_Single,-0.8208970138001823
monthly_payment,debt_service_ratio,0.8139902086812895
loan_to_annual_income,total_debt_amount,0.8086273853319724
loan_to_value_ratio,available_credit_after_loan,-0.8067967311616785
total_debt_amount,loan_term,0.8040674683013437
